title,citation,coram,decision_date,case_no,bench,pdf_path_or_url,snippet
In Re: Recruitment of Visually Impaired in Judicial Services,[2025] 4 S.C.R. 222,"Coram : J.B. PARDIWALA * , R MAHADEVAN",03-03-2025,SUO MOTO WRIT PETITION (CIVIL) No. 2/2024,2 Judges,pdfs/In Re: Recruitment of Visually Impaired in Judicial Services.pdf,"Judicial Services – Judicial Services Examination – Visually impaired candidates, eligible to participate – Madhya Pradesh Judicial Service Examination (Recruitment and Conditions of Service) Rules, 1994 – 2023 amendment – r.6A – Rajasthan Judicial Service Rules, 2010 – Rights of Persons with Disabilities Act, 2016 – Challenge to amendment in r.6A, MP Judicial Service Rules, 1994 excluding visually impaired and low vision candidates from appointment in judicial service – Suo moto cognizance of letter petitions – Amendment, if falls foul of the constitution – Visually impaired candidates, if ‘not suitable’ for judicial service:Held: Visually impaired candidates cannot be said to be ‘not suitable’ for judicial service – They are eligible to participate in selection for posts in judicial service – Amendment made in r.6A of the 1994 Rules falls foul of the Constitution, hence, struck down to the extent it does not include visually impaired persons who are educationally qualified for the post to apply therefor – r.6A is against the guarantee of substantive equality embodied in the RPwD Act, 2016 and the principle of reasonable accommodation therein – The impugned rule * Author"
Anmol v. Union of India & Ors.,[2025] 2 S.C.R. 1142,"Coram : BHUSHAN RAMKRISHNA GAVAI * , K.V. VISWANATHAN",21-02-2025,CIVIL APPEAL No. 14333/2024,2 Judges,pdfs/Anmol v. Union of India & Ors..pdf,"Rights of Persons with Disabilities Act, 2016 (‘RPwD Act’) – In light of the decision in Omkar Ramchandra Gond v. Union of India & Ors., 2024 SCC OnLine SC 2860 – Discussed and relied on:Held: In Omkar Ramchandra Gond case it was held that Article 41 of the Directive Principles of State Policy casts duty on the State to make effective provision for securing the right to work and education for the persons with disabilities within the limits of its * Author"
Rajive Raturi v. Union of India & Ors.,[2024] 11 S.C.R. 970,"Coram : D.Y. CHANDRACHUD * , J.B. PARDIWALA, MANOJ MISRA",08-11-2024,WRIT PETITION (CIVIL) No. 243/2005,3 Judges,pdfs/Rajive Raturi v. Union of India & Ors..pdf,"Rights of Persons with Disabilities Act, 2016 – s.40 – Right of Persons with Disabilities Rules, 2017 – r.15(1) – r.15(1),  if ultra vires the 2016 Act:Held: Yes – Guidelines prescribed in Rule 15 are recommendatory under the garb of mandatory rules – Rule 15(1) is ultra vires the scheme and legislative intent of the RPWD Act which creates a mechanism for mandatory compliance – Union Government to delineate mandatory rules, as required by Section 40, within three months from the date of this Judgment – This exercise may involve segregating the non-negotiable rules from the expansive guidelines already prescribed in Rule 15 – Union Government must conduct this exercise in consultation with all stakeholders – NALSAR-CDS to be involved in the process – Progressive compliance with the standards listed in the existing Rule 15(1) and the progress towards the targets of the Accessible India Campaign must continue unabated – However, in addition, a baseline of non-negotiable rules must be prescribed in Rule 15 – Once these mandatory rules are prescribed, the Union of India, States and Union Territories are directed to ensure that the consequences prescribed in Sections 44, 45, 46 and 89 of the RPWD Act, including the holding back of *Author"
Omkar Ramchandra Gond v. The Union of India & Ors.,[2024] 10 S.C.R. 673,"Coram : BHUSHAN RAMKRISHNA GAVAI * , ARAVIND KUMAR, K.V. VISWANATHAN",15-10-2024,CIVIL APPEAL No. 10611/2024,3 Judges,pdfs/Omkar Ramchandra Gond v. The Union of India & Ors..pdf,"Rights of Persons with Disabilities Act, 2016 – MBBS course  – Admission for academic year 2024-25 – PwD category – Appellant has speech and language disability and is diagnosed with Hypernasality with Misarticulation IN K/C/O Repaired Bilateral CLEFT of palate – Appellant appeared for the NEET (UG) 2024 and qualified the same – As required, appellant underwent medical examination – The Designated Disability Certification Centre certified that the appellant has physical disability of speech and language of 44% (in some reports, it was mentioned as 45%) and recorded that based on quantification of disability, the appellant was not eligible to pursue the medical course as per NMC norms – Propriety:Held: The Appendix H-I in the notification of 13.05.2019, issued by the Medical Council of India provides a peculiar scenario – While people with less than 40% disability are not eligible for PwD quota, though they can pursue the Medical Course, persons with equal to or more than 40% disability are not eligible for the medical course – In any event, adopting a purposive interpretation of the RPwD Act, this Court is of the opinion that merely because of the quantification of the disability for speech and language at 40% or above, a candidate does not forfeit his right to stake a claim for admission to course of their choice – Appendix H-1 cannot be interpreted to mean that merely because on the quantification of the disability percentage exceeding the prescribed limits, a person * Author"
"Rekha Sharma v. The Rajasthan High Court, Jodhpur & Anr.",[2024] 8 S.C.R. 488,"Coram : BELA M. TRIVEDI * , SATISH CHANDRA SHARMA",21-08-2024,CIVIL APPEAL No. 5051/2023,2 Judges,"pdfs/Rekha Sharma v. The Rajasthan High Court, Jodhpur & Anr..pdf","Constitution of India – Art. 16 (1), (4) – Reservation for the persons with disabilities – Direct recruitment to the cadre of Civil Judge – Appellants, suffering from disabilities  participated in the selection process under the disabled category and were declared unsuccessful in Preliminary examination – In the results declared, the cut off marks shown for each of the categories mentioned in the advertisement, however did not show for the category of persons with benchmark disabilities – Aggrieved thereagainst, writ petition by the appellants, dismissed by the High Court – Legality of:Held: No illegality or infirmity in the impugned judgments and orders passed by the High Court  – Candidates who consciously took part in the process of selection cannot be permitted to question the advertisement or the methodology adopted by the respondents for making selection, on their having been declared as unsuccessful in the Preliminary Examinations – Reservation for the persons with disabilities has been treated as Horizontal Reservation-reservation under Clause (1) of Art. 16, and not the Vertical reservation-reservation under Clause (4) of Art. 16  – Reservation in favour of the Persons with disabilities was an Overall Horizontal Reservation and was not compartmentalised * Author"
Shivani Tyagi v. State of U.P. & Anr.,[2024] 5 S.C.R. 36,"Coram : C.T. RAVIKUMAR * , RAJESH BINDAL *",05-04-2024,CRIMINAL APPEAL No. 1957/2024,2 Judges,pdfs/Shivani Tyagi v. State of U.P. & Anr..pdf,"Code of Criminal Procedure, 1973 – s. 389 – Suspension of sentence pending appeal, and releasing on bail – Acid attack on victim at the hands of the accused persons – Victim suffered 30-40 percent burn injuries resulting in total disfigurement of her face – Conviction of the accused persons u/ss. 307/149 and 326A/149 IPC and sentenced to life imprisonment – High Court suspended the sentence and enlarged them on bail – Interference:Held: (per C. T. Ravikumar, J) Mere factum of sufferance of incarceration for a particular period and likelihood of delay in disposal of cases, in a case where life imprisonment is imposed, cannot be a reason for invocation of power u/s. 389 without referring to the relevant factors – Each case has to be examined on its own merits and based on the given parameters – Acid attack may completely strip off the victim of her basic human right to live a decent human life owing to permanent disfiguration – Impugned judgment reflects only non-application of mind and non-consideration of the relevant factors required for invocation of power u/s. 389 despite the fact that the case involved an acid attack on a young woman resulting into permanent disfiguration – High Court took into account the offer made on behalf of the convicts that they would give a payment of Rs. 25 lakhs, and that the evidence that the victim had incurred an amount of Rs. 21 "
924 CASE DETAILS MOHAMED IBRAHIM v. THE CHAIRMAN & MANAGING DIRECTOR & ORS.,[2023] 13 S.C.R. 924,"Coram : S. RAVINDRA BHAT * , ARAVIND KUMAR",16-10-2023,CIVIL APPEAL No. 6785/2023,2 Judges,pdfs/924 CASE DETAILS MOHAMED IBRAHIM v. THE CHAIRMAN & MANAGING DIRECTOR & ORS..pdf,
Geeta @ Reeta Mishra v. Ajay Kumar Mishra,[2025] 9 S.C.R. 640,"Coram : VIKRAM NATH * , SANDEEP MEHTA",12-09-2025,CIVIL APPEAL No. 11787/2025,2 Judges,pdfs/Geeta @ Reeta Mishra v. Ajay Kumar Mishra.pdf,"Hindu Marriage Act, 1955 – s.13(1)(ia) – Divorce on grounds of cruelty – Family Court granted divorce on grounds of cruelty – The High Court, by the impugned judgment, affirmed the decree of divorce – Before this Court, the appellant-wife has confined her claim to seeking an amount of Rs.10,00,000/- towards the marriage expenses of their daughter:Held: It is evident that the marital relationship between the parties has ceased to exist in substance – Even an attempt at mediation proved unsuccessful – In view of the long separation and irretrievable breakdown of the marriage, there is no reason to interfere with the decree of divorce granted by the Family Court and affirmed by the High Court – As far as expense towards marriage of daughter is concerned, the respondent is capable of making provision for his daughter’s marriage – The appellant-wife has been reasonable in limiting her claim – It is a father’s duty to provide for his children, and meeting the marriage expenses of his daughter is a modest obligation – This Court is of the considered view that the respondent can and should contribute Rs.10,00,000/- for this purpose as meeting the reasonable expenses of his daughter’s marriage is a natural extension of his duty as a parent, irrespective of differences with the spouse – Accordingly, the respondent-husband is directed to pay an amount of Rs.10,00,000/- to the appellant-wife towards * Author"
Mrs. Shailja Krishna v. Satori Global Limited & Ors.,[2025] 9 S.C.R. 383,"Coram : DIPANKAR DATTA * , K. VINOD CHANDRAN",02-09-2025,CIVIL APPEAL No. 6377/2023,2 Judges,pdfs/Mrs. Shailja Krishna v. Satori Global Limited & Ors..pdf,"Companies Act, 1956 Act – ss.397-399 – NCLT decided the company petition in favour of the Appellant – Order set aside by NCLAT – Whether the company petition u/ss.397 and 398 was maintainable in view of the bar created by s.399:Held: The company petition was maintainable – Findings returned by the NCLT and more particularly having noticed the allegations of fraud and coercion as well as fabrication of documents, which were proved to its satisfaction by the Appellant, the reasons assigned are concurred with. [Para 24]Companies Act, 1956 Act – ss.397, 398, 286 – Company petition filed by Appellant was decided by NCLT in her favour whereby inter alia she was restored as an Executive Director of the first respondent-Company; Board resolutions dtd.15.12.2010 and 17.12.2010 were set aside; the gift deed in question was held invalid and the subsequent share transfer in favour of the fourth respondent-her mother-in-law was declared null and void – Order set aside by NCLAT holding that NCLT erred in declaring the Gift Deed invalid when serious allegations of * Author"
Pinki v. State of Uttar Pradesh and Anr.,[2025] 5 S.C.R. 522,"Coram : J.B. PARDIWALA * , R MAHADEVAN",15-04-2025,CRIMINAL APPEAL No. 1927/2025,2 Judges,pdfs/Pinki v. State of Uttar Pradesh and Anr..pdf,"Bail – Cancellation of – Penal Code, 1860 – ss.363, 311, 370(5)  – Kidnapping; Child trafficking – Interstate child-trafficking rackets – High Court granted bail to 13 accused persons allegedly involved in such cases involving interstate trafficking of minor children on a large scale – Challenge to, by the victims of the crime, the kith and kin of the children trafficked:Held: High Court while releasing the accused persons on bail took into consideration the aspects like the accused were not named in the FIR; names of the accused were disclosed by a co-accused; victim was not recovered from the custody of the accused; similarly situated co-accused were granted bail; no material evidence regarding tampering of evidence or intimidating of witness in previous criminal cases; bail is a rule, jail is an exception – Considering the serious nature of the crime and the modus operandi adopted by the accused persons, the High Court should not have exercised its discretion in favour of the accused persons – High Court dealt with all the bail applications in a very callous manner which ultimately paved way for many accused persons to abscond putting the trial in jeopardy – The true test to ascertain whether discretion has been judiciously exercised or not is to see whether the court has been able to strike a balance between the personal liberty of the accused and the interest of the State, in other words, the societal interests – Impugned bail orders * Author"
Parminder Singh v. Honey Goyal and Others,[2025] 4 S.C.R. 50,"Coram : J.K. MAHESHWARI * , RAJESH BINDAL",18-03-2025,CIVIL APPEAL No. 4299/2025,2 Judges,pdfs/Parminder Singh v. Honey Goyal and Others.pdf,"Motor Vehicles Act, 1988 – Motor accident – Compensation – Enhancement – Appellant, aged 21 years, veterinary student and a State Level player in Volleyball hit by a car resulting in quadriplegia-paralysis of all four limbs, and declared 100% disabled – Claim petition – Tribunal awarded ₹5,16,000/- as compensation – In appeal, the High Court enhanced compensation to ₹15,25,600/- – Challenge to: Held: Income of the appellant has been taken on the lower side, which deserves to be enhanced – Appellant was a good sportsman and had certain technical qualification to his credit, taking his income merely at ₹5,600/- per month was not appropriate, it was less than the minimum wage for unskilled worker – Thus, his income is assessed as ₹7,500/- per month – High Court rightly applied the multiplier of 18 but failed to grant future prospects under the head ‘Loss of Income’ which should be 40% and income after taking into account future prospects would be ₹10,500/- per month (₹7,500x1.4) – Also, judicial notice taken of the fact that physiotherapy would be required  – In view thereof, total compensation amounting to Rs. 36,84,000/- awarded, assessed under the heads-loss of income, medical expenses, attendent charges, special diet, pain and sufferring, expenses towards physiotherapy, future medical expenses, and loss of marriage prospects – Impugned order * Author"
Geddam Jhansi & Anr. v. The State of Telangana & Ors.,[2025] 3 S.C.R. 1,"Coram : B.V. NAGARATHNA * , N KOTISWAR SINGH",07-02-2025,CRIMINAL APPEAL No. 609/2025,2 Judges,pdfs/Geddam Jhansi & Anr. v. The State of Telangana & Ors..pdf,"Code of Criminal Procedure, 1973 – s.482 – Quashing – Penal Code, 1860 – ss.498A, 506 – Dowry Prohibition Act, 1961 – ss.3, 4 – Complainant made specific allegations against her husband and her mother-in-law for demand of dowry and harassment – However, as regards the appellants (complainant’s mother-in-law’s younger sister and her son), the allegation was that they pressurized her to act according to her husband and her mother-in-law’s wishes – High Court declined to quash criminal proceedings against the appellants – Challenge to:Held: Impugned judgements set aside – Charges against the accused including the appellants were sought to be substantiated based on the statements of the complainant, her parents and two panchayat elders – Complainant in her complaints did not assign any specific role to the appellants concerning cruelty, the demands of dowry or her physical and mental harassment except for making a sweeping allegation without specific details – Nothing on record to show that the parents or the two witnesses witnessed any of the incidents of physical harassment of the complainant at the instance of the appellants – Statements of the Panchayat elder is based on the information provided by the complainant’s father and is hearsay evidence – No prima facie case made out against the appellants for continuing the criminal proceedings against them in the trial – Pending criminal proceedings quashed qua the two appellants – Constitution of India – Article 142. [Paras 37, 23, 40]* Author"
Smt. N. Usha Rani and Anr. v. Moodudula Srinivas,[2025] 1 S.C.R. 1442,"Coram : B.V. NAGARATHNA * , SATISH CHANDRA SHARMA",30-01-2025,CRIMINAL APPEAL No. 515/2025,2 Judges,pdfs/Smt. N. Usha Rani and Anr. v. Moodudula Srinivas.pdf,"Code of Criminal Procedure, 1973 – s.125 – Maintenance – Appellant no.1-wife separated from her first husband by way of an MoU executed between them – Appellant no.1 married the respondent – Marriage declared null and void – Respondent and Appellant no.1 got re-married – However, differences arose between them, Appellant no.1 sought maintenance from the respondent – Awarded by Family Court – High Court set aside the maintenance – Challenge to:Held: Respondent was fully aware of the first marriage of the Appellant No.1 and knowingly entered into a marriage with Appellant No. 1 not once, but twice – The MoU of separation between the Appellant No.1 and her first husband though not a legal decree of divorce, shows that the parties have dissolved their ties, they have been living separately and Appellant No.1 is not deriving maintenance from her first husband – Therefore, barring the absence of a legal decree, Appellant No.1 is de facto separated from her first husband and is not deriving any rights and entitlements as a consequence of that marriage – Maintenance cannot be denied to Appellant No.1 – Maintenance award granted by the Family Court restored. [Paras 17, 19]Interpretation of Statutes – Social welfare provisions – Interpretation of. [Para 18]Code of Criminal Procedure, 1973 – s.125 – Maintenance – Objective – Discussed. [Para 11]* Author"
Prakash and Others v. The State of Maharashtra and Another,[2024] 12 S.C.R. 1160,"Coram : BHUSHAN RAMKRISHNA GAVAI * , K.V. VISWANATHAN",20-12-2024,CRIMINAL APPEAL No. 5543/2024,2 Judges,pdfs/Prakash and Others v. The State of Maharashtra and Another.pdf,"Penal Code – ss.306, 107 – Abetment of suicide – Disputes between the victim, and her husband-appellant no.1 and in-laws – Victim tortured mentally and physically over demand of money at her matrimonial house – Victim started residing separately, at her paternal house with her child – Subsequently criminal case against the husband and in-laws under the 2005 Act – During pendency, mahalokadalat held during which appellants allegedly refused to cohabitate with the victim or accept her or her child or settle the proceedings initiated by victim – Month later, victim committed suicide – Accidental Death Report by brother of the deceased stating that his sister committed suicide by hanging herself – Five days later, complaint by the mother of deceased against the appellants – On basis thereof, FIR registered u/ss.306 and 34 against the husband and in-laws, and chargesheet filed – Application seeking discharge from case by the appellants – Rejected by the trial court – Said order upheld by the High Court – Correctness:Held: There must be a close proximity between the positive act of instigation by the accused person and the commission of suicide by the victim – Close proximity should be such as to create a *Author"
Sugirtha v. Gowtham,[2024] 12 S.C.R. 2089,"Coram : VIKRAM NATH * , PRASANNA BHALACHANDRA VARALE",20-12-2024,CIVIL APPEAL No. 14833/2024,2 Judges,pdfs/Sugirtha v. Gowtham.pdf,"Matrimonial disputes between parents should not be an impediment to a child’s right to have company of both parents – Interest of the minor child is paramount:Held: The matrimonial disputes and grave allegations between parents should not be an impediment to a child’s right to have care, company, and affection of both the parents – Though the child was in the care of the father for only 2 months after his birth, it would not compromise the right of the father to visit and enjoy the company of the child – The interest of the minor child is paramount – While the father has the right to visit the child, it cannot be at the cost of the child’s health and well-being. [Paras 14, 15]Directions issued by High Court modified to the extent of place of visitation:Held: In this case, the High Court had directed the mother to travel with the child from Madurai to Karur, which was about 150 kms away on every Sunday – Considering the interest of the child as the paramount consideration, the Hon’ble Supreme Court directed the father to travel to Madurai on every Sunday, and visit the child. [Paras 16, 17]List of KeywordsInterest of child is paramount consideration.*Author"
Maukam Singh & Others v. State of Madhya Pradesh,[2025] 4 S.C.R. 336,"Coram : SUDHANSHU DHULIA * , K. VINOD CHANDRAN",02-04-2025,CRIMINAL APPEAL No. 1741/2025,2 Judges,pdfs/Maukam Singh & Others v. State of Madhya Pradesh.pdf,"Penal Code, 1860 – ss.302, 323, 324, 34 – Murder – Ocular evidence – Animosity between the accused and the victims regarding the ownership of the place of worship – Accused persons-appellants armed with deadly weapons came to the house of the victim-grandfather, questioned them resulting in a scuffle which lead to the death of the victim and injuries to grandchildren – Appellants convicted u/ss.302/34, 323 and 324 rw s.34 for homicide and for injuries sustained by grandchildren and sentenced accordingly – High Court upheld the same – Interference with: Held: Not called for – Merely because witnesses are related, they cannot be termed to be interested – Ocular witnesses were all grandchildren of the deceased which would not result in eschewing their testimony – All the ocular witnesses were injured which makes their testimony credible and believable – Also nothing suspicious to doubt the veracity of the ocular witnesses – Furthermore, the facts regarding the fight and the overt acts does not make it an offence covered u/s.304 Part II nor fall under any of the Exceptions to s.300 resulting in a finding of culpable homicide not amounting to murder – Medical evidence that the injury could be caused either manually by a hard and blunt object or by an accidental fall, does not detract from the finding u/s.302, especially considering the ocular testimony – Intention is clear from the deadly nature of * Author"
Firoz Khan Akbarkhan v. The State of Maharashtra,[2025] 3 S.C.R. 933,"Coram : ABHAY S. OKA * , AHSANUDDIN AMANULLAH, AUGUSTINE GEORGE MASIH",24-03-2025,CRIMINAL APPEAL No. 257/2013,3 Judges,pdfs/Firoz Khan Akbarkhan v. The State of Maharashtra.pdf,"Evidence – Delay in recording statements of witnesses – When not fatal – Appellant alongwith other co-accused was convicted u/s.302 r/w s.34, Penal Code, 1860 – Appellant inter alia contended that he was implicated in a false case as there was delay in recording of the statements of the witnesses:Held: Delay in recording witness statements is not always fatal to the prosecution’s case and the Court needs to examine such delay, if any, in the facts and circumstances of the particular case – Delay in recording witness statements, moreso when the said delay is explained, will not aid an accused – In the present case, the delay of 2-3 days in recording the statements of the eye-witnesses u/s.161, CrPC was thoroughly explained by the witnesses, including the Investigating Officer, to the effect that there were riots in the area – Thus, the Investigating Officer was involved in maintaining law and order in the affected area – No adverse inference can be drawn on this count – Furthermore, the presence of the appellant at the site of the incident and stabbing the deceased on the stomach repeatedly is established – Minor and immaterial inconsistencies/discrepancies do not harm the case of the prosecution – Prosecution has proved the case beyond reasonable doubt – However, on facts, appellant given liberty to * Author"
Sudam Prabhakar Achat v. The State of Maharashtra,[2025] 3 S.C.R. 897,"Coram : BHUSHAN RAMKRISHNA GAVAI * , AUGUSTINE GEORGE MASIH",21-03-2025,CRIMINAL APPEAL No. 641/2024,2 Judges,pdfs/Sudam Prabhakar Achat v. The State of Maharashtra.pdf,"Penal Code, 1860 – ss.304 Part I, 300 exception IV, 302 – Culpable homicide not amounting to murder – Alteration of conviction to a lesser offence – Testimony of related witnesses  – Reliability – Quarrel on account of previous enimity between the accused persons and the deceased who were brothers – Upon confrontation, the co-accused and his son-appellant became aggressive, and the co-accused armed with axe and the appellant armed with stick assaulted the deceased and his son-complainant, resulting in injuries to them – Deceased succumbed to his injuries the same night and the complainant succumbed to his injuries, a month later – Order of conviction and sentence of the accused u/ss.302/34 and 324/34 by the courts below – Correctness:Held: No reason to interfere with the finding that the death of the deceased was homicidal, and it was the appellant along with the co-accused who caused injuries to the deceased resulting in his death – All the witnesses are related to the deceased – Merely because the witnesses are relatives of the deceased and as such are interested witnesses, that alone cannot be a ground to discard their testimony – Testimony of such witnesses to be scrutinized with greater caution and circumspection – Possibility of a quarrel taking place on account of previous enmity between the accused persons and the deceased; and in a sudden fight in the heat of the moment, the appellant along with the co-accused assaulting the deceased cannot be ruled out – Weapons used are stick and * Author"
"Shivaleela and Others A1: Shivaleela A2: Kumari Kavya A3: Kumari Purnima A4: Kumari Shravya A5: Master Veeresh A6: K. H. M. Shivamurthaiah v. The Divisional Manager, United India Insurance Co. Ltd. & Others R1: The Divisional Manager, United India Insurance Co. Ltd. R2: Sri. Girish B. R3: Dr. Basavaraja",[2025] 4 S.C.R. 63,"Coram : SUDHANSHU DHULIA * , AHSANUDDIN AMANULLAH",17-03-2025,CIVIL APPEAL No. 3840/2025,2 Judges,pdfs/17-03-2025_CIVIL APPEAL No. 3840_2025.pdf,"Motor Vehicle Accident claim – Victim met with an accident and died – Claim petition was filed by appellants – The MACT, by Judgment and Order dated 10.01.2014, awarded a compensation of Rs.25,49,000/- with 6% interest p.a. from the date of filing of the claim petition till its realization – The High Court reduced the compensation of Rs.25,49,000/- to Rs.20,61,320/- – While calculating the compensation, the MACT had taken the notional income of deceased as Rs.10,000/- per month, which was further reduced by the High Court to Rs.8000/- – Correctness:* Author"
Yuvraj Laxmilal Kanther & Anr. v. State of Maharashtra,[2025] 3 S.C.R. 502,"Coram : ABHAY S. OKA * , UJJAL BHUYAN",07-03-2025,CRIMINAL APPEAL No. 2356/2024,2 Judges,pdfs/Yuvraj Laxmilal Kanther & Anr. v. State of Maharashtra.pdf,"Code of Criminal Procedure, 1973 – s.227 – Discharge – Penal Code, 1860 – ss.34, 304 Part II, 304A – Culpable homicide not amounting to murder – Appellant no.1 was doing interior decoration of the shop on contract basis and the appellant no.2 was the Store Manager of the company which had taken the said shop on lease – Two employees of appellant no.1 while working on the sign board of the shop at a height of 12 feet from the ground level, struck by electricity, got electrocuted, and fell from iron ladder resulting in multiple injuries, leading to their death – Registration of FIR – Chargesheet against the appellants for committing an offence u/ss.304A/182/201 rw s.34 IPC since the appellants did not provide any safety equipments to the deceased employees – Appellants sought their discharge u/s. 227 which was dismissed – Revision applications thereagainst dismissed by the High Court – Correctness: Held: Basic ingredient of s.304 Part II is presence of knowledge and absence of intention – Doer must have the knowledge that the act performed by him would likely cause death etc. but there should not be any intention to cause death – No prima facie case can be said to have been made out against the appellants for committing an offence u/s.304 Part II – No intention on the part of the two appellants to cause the death or cause such bodily * Author"
Kasireddy Upender Reddy v. State of Andhra Pradesh and Ors.,[2025] 7 S.C.R. 105,"Coram : J.B. PARDIWALA * , R MAHADEVAN",23-05-2025,CRIMINAL APPEAL No. 2808/2025,2 Judges,pdfs/Kasireddy Upender Reddy v. State of Andhra Pradesh and Ors..pdf,"Constitution of India – Art.22 – When not violated – Appellant filed writ petition before High Court seeking a writ of habeas corpus on the ground that his son was illegally arrested by CID as appropriate grounds for arrest were not furnished at the time of arrest and thus, the arrest was violative of Art.22 – Writ petition dismissed – Sustainability:Held: If a person is arrested on a warrant, the grounds for reasons for the arrest is the warrant itself; if the warrant is read over to him, that is sufficient compliance with the requirement that he should be informed of the grounds for his arrest – If he is arrested without a warrant, he must be told why he has been arrested – If he is arrested for committing an offence, he must be told that he has committed a certain offence for which he would be placed on trial – In order to inform him that he has committed a certain offence, he must be told of the acts done by him which amounts to the offence – He must be informed of the precise acts done by him for which he would be tried; informing him merely of the law applicable to such acts would not be enough – The information of the grounds of arrest must be provided to the arrested person in a manner that sufficient knowledge of the basic facts constituting the grounds is imparted and communicated to the arrested person effectively in the language which he understands – The mode and method of communication must be such that the object of the constitutional safeguard is achieved – Appellant’s son was arrested for specific offences as mentioned in the grounds of arrest – The grounds of arrest show that the requirement in terms of para 21(b) as laid * Author"
National Spot Exchange Limited v. Union of India & Ors.,[2025] 7 S.C.R. 252,"Coram : BELA M. TRIVEDI * , SATISH CHANDRA SHARMA",15-05-2025,WRIT PETITION (CIVIL) No. 995/2019,2 Judges,pdfs/National Spot Exchange Limited v. Union of India & Ors..pdf,"Prevention of Money Laundering Act, 2002 (PMLA) – Maharashtra Protection of Investors and Depositors Act, 1999 (MPID Act) – s.4 – Securitisation and Reconstruction of Financial Assets and Enforcement of Security Interest Act, 2002 (SARFAESI Act) – s.26E – Recovery of Debts and Bankruptcy Act, 1993 (RDB Act) – Constitution of India – Article 246 – Commodity Exchange Platform of National Spot Exchange Limited committed payment defaults and fraud of about Rs.5,600 Crores – Secured creditors, if would have priority of interest over the assets attached under the  PMLA and MPID Act, by virtue of the SARFAESI Act and RDB Act:Held: No priority of interest can be claimed by the Secured Creditors against the properties attached under the MPID Act – The provisions of MPID Act would override any claim for priority of interest by the Secured Creditors in respect of the properties * Author"
Kushal Kumar Agarwal v. Directorate of Enforcement,[2025] 5 S.C.R. 730,"Coram : ABHAY S. OKA * , UJJAL BHUYAN",09-05-2025,CRIMINAL APPEAL No. 2749/2025,2 Judges,pdfs/Kushal Kumar Agarwal v. Directorate of Enforcement.pdf,"Bharatiya Nagarik Suraksha Sanhita, 2023 – Proviso to  sub-section (1) of s.223 – Prevention of Money Laundering Act, 2002 – s.44(1)(b) – Examination of complaint u/s. 223 BNSS – Opportunity of being heard to the accused – In this case, admittedly, an opportunity of being heard was not given by the Special Judge to the appellant-accused before taking cognizance of the offence on the complaint – Correctness:Held: The proviso to sub-section (1) of s.223 puts an embargo on the power of the Court to take cognizance by providing that no cognizance of an offence shall be taken by the Magistrate without giving the accused an opportunity of being heard – The impugned order dated 20.11.2024, is set aside only on the ground of non-compliance with the proviso to sub-section (1) of s.223 of the BNSS – Therefore, appellant is directed to appear before the Special Court, so that he can be given an opportunity of being heard in terms of the proviso to sub-section (1) of s.223 of the BNSS. [Paras 6, 10, 12]Case Law CitedYash Tuteja v. Union of India and Others [2024] 4 SCR 591 : 2024 SCC OnLine Sc 533; Tarsem Lal v. Enforcement Directorate [2024] 6 SCR 864 : (2024) 7 SCC 61 – referred to.* Author"
Serious Fraud Investigation Office v. Aditya Sarda,[2025] 5 S.C.R. 485,"Coram : BELA M. TRIVEDI * , PRASANNA BHALACHANDRA VARALE",09-04-2025,CRIMINAL APPEAL No. 1872/2025,2 Judges,pdfs/Serious Fraud Investigation Office v. Aditya Sarda.pdf,"Code of Criminal Procedure, 1973 – ss.82, 204, 482 – Anticipatory bail – Avoiding execution of summons or warrants  – Appellant-SFIO lodged a complaint before the Special Court against the respondents-accused, alleging serious offences under the Companies Act and IPC – Special court took cognizance of offences and summoned the respondents by issuing bailable warrants – Respondents did not allow bailable warrants to be executed on them – Issuance of non-bailable warrants against the respondents by the Special Court and also proclamation of offenders proceedings initiated against some of the respondents – High Court granted anticipatory bail to the respondents – In case of two respondents, High Court rejected petition seeking cancellation of anticipatory bail granted by Special Court – Sustainability: Held: Orders being perverse and untenable at law, cannot be allowed to be sustained – Respondents avoided the execution of the non-bailable warrants even after their anticipatory bail applications were rejected by Special Court – If accused is creating hindrances in execution of warrants/concealing himself and does not submit to the authority of law, he must not be granted the privilege of anticipatory bail, particularly when court taking cognizance has found him prima facie involved in serious economic offences or heinous offences – High Courts should * Author"
Piramal Capital and Housing Finance Limited,[2025] 4 S.C.R. 344,"Coram : BELA M. TRIVEDI * , SATISH CHANDRA SHARMA",01-04-2025,CIVIL APPEAL No. 1632/2025,2 Judges,pdfs/Piramal Capital and Housing Finance Limited.pdf,"Insolvency and Bankruptcy Code, 2016 – s.26 – Insolvency and Bankruptcy Board of India (Insolvency Resolution Process for Corporate Persons) Regulations, 2016 – Reg.37(a)  – IBBI (Liquidation Process) Regulations, 2016 – Reg.37A –  DHFL-finance company involved in accusation of loan frauds, money laundering, etc. worth thousands of crores – Company conducted its affairs detrimental to the interest of its depositors and creditors – Initiation of Corporate Insolvency Resolution Process-CIRP proceedings of DHFL-corporate debtor – Appellant-PC submitted Resolution Plan-RP for consideration of Administrator/Committee of Creditors-CoC – Respondent voted in favour of RP within its class of debenture holders and RP approved by majority – Authorised representative-AR of class of debenture holders voted in favour of RP – RP approved by CoC as also by NCLT – Respondent challenged * Author"
